NO,주소2(동),단지명,전용면적(㎡),평수,계약년월,계약년,계약월,계약일,거래금액(만원),층,건축년도,도로명
1,우두동,강변코아루,84.87,25.673175,202012,2020,12,31,20000,4,2007,새청말길 26
2,후평동,후평주공7단지,39.69,12.006225,202012,2020,12,31,9000,4,1989,후만로 56
3,석사동,석사부영,59.76,18.0774,202012,2020,12,31,10800,7,1998,우석로101번길 83
4,후평동,후평주공7단지,39.3,11.88825,202012,2020,12,31,10800,4,1989,후만로 56
5,후평동,후평주공7단지,47.01,14.220525,202012,2020,12,31,9500,4,1989,후만로 56
6,동내면,부영3차,59.8404,18.101721,202012,2020,12,31,17200,5,2003,춘천순환로94번길 12
7,후평동,춘천더샵,59.9286,18.1284015,202012,2020,12,31,20900,6,2008,후석로 325
8,퇴계동,퇴계현대2차,59.76,18.0774,202012,2020,12,31,12400,11,1994,행촌로 14
9,퇴계동,퇴계2주공,59.99,18.146975,202012,2020,12,31,16650,9,1999,퇴계로 168
10,퇴계동,금호2차,59.82,18.09555,202012,2020,12,31,13500,7,1993,안마산로 214
11,퇴계동,중앙하이츠빌2단지,84.9589,25.70006725,202012,2020,12,31,26300,11,2007,영서로2141번길 25
12,퇴계동,중앙하이츠빌2단지,84.9589,25.70006725,202012,2020,12,31,23500,4,2007,영서로2141번길 25
13,요선동,춘천요선동한신'휴'플러스아파트,84.6937,25.61984425,202012,2020,12,31,22000,2,2007,서부대성로 34
14,신북읍,춘천해강,37.35,11.298375,202012,2020,12,31,6300,2,1997,상천2길 52
15,동면,장학엘에이치해온채,84.93,25.691325,202012,2020,12,31,26200,10,2014,소양강로 102
16,근화동,청와,76.77,23.222925,202012,2020,12,31,13000,6,1991,중앙로190번길 79
17,동면,두산위브,84.988,25.70887,202012,2020,12,31,22000,4,2008,삭주로 231
18,온의동,금호3,59.86,18.10765,202012,2020,12,31,12000,1,1994,영서로 2319
19,우두동,롯데인벤스,84.93,25.691325,202012,2020,12,31,20000,3,2006,충열로 29
20,신북읍,소양강양우내안애,60.6314,18.3409985,202012,2020,12,30,12000,12,2012,신샘밭로 733
21,동면,한일유앤아이,166.5906,50.3936565,202012,2020,12,30,28900,5,2006,만천로 107
22,퇴계동,퇴계주공6차,59.92,18.1258,202012,2020,12,30,17700,11,2002,지석로 64
23,퇴계동,퇴계이안,84.9877,25.70877925,202012,2020,12,30,28600,3,2007,영서로 2169
24,후평동,현대3,84.98,25.70645,202012,2020,12,30,15000,12,1990,후석로326번길 31
25,우두동,동부,84.961,25.7007025,202012,2020,12,30,15000,4,1994,충열로 32
26,우두동,춘천파크에뷰,74.99,22.684475,202012,2020,12,30,26500,12,2020,우두1길 129
27,후평동,현대1차,84.81,25.655025,202012,2020,12,30,15000,15,1988,삭주로 113
28,후평동,현대4,84.955,25.6988875,202012,2020,12,30,14300,7,1995,후석로326번길 44
29,후평동,석사2,58.14,17.58735,202012,2020,12,30,10700,8,1995,후석로228번길 24
30,퇴계동,퇴계현대2차,59.76,18.0774,202012,2020,12,30,13500,9,1994,행촌로 14
31,효자동,효자코아루웰라움,66.9094,20.2400935,202012,2020,12,30,21080,4,2019,공지로218번길 26
32,효자동,신아,32.16,9.7284,202012,2020,12,30,6500,13,1997,백령로75번길 7
33,효자동,신동아,59.96,18.1379,202012,2020,12,30,11500,2,1994,효자로 85
34,후평동,우미린뉴시티,68.618,20.756945,202012,2020,12,30,27300,23,2019,보안길 36
35,석사동,석사동현진에버빌1차,84.921,25.6886025,202012,2020,12,30,26000,7,2004,지석로 97
36,석사동,석사동현진에버빌1차,84.921,25.6886025,202012,2020,12,30,25400,15,2004,지석로 97
37,석사동,퇴계주공4,59.99,18.146975,202012,2020,12,30,13700,12,1998,퇴계로 242
38,석사동,퇴계주공4,59.99,18.146975,202012,2020,12,30,14400,18,1998,퇴계로 242
39,석사동,퇴계주공4,59.99,18.146975,202012,2020,12,30,13900,13,1998,퇴계로 242
40,퇴계동,퇴계2주공,49.62,15.01005,202012,2020,12,30,12900,13,1999,퇴계로 168
41,퇴계동,그린타운삼익코오롱,99.99,30.246975,202012,2020,12,30,20500,13,1994,춘주로 174
42,퇴계동,쌍용스윗닷홈,84.879,25.6758975,202012,2020,12,30,27300,4,2005,춘주로 176-22
43,사농동,롯데캐슬2단지,84.99,25.709475,202012,2020,12,30,21800,14,2008,마장길 60
44,동면,한일유앤아이,127.9717,38.71143925,202012,2020,12,29,26500,11,2006,만천로 107
45,후평동,주공5,47.01,14.220525,202012,2020,12,29,10000,1,1989,후만로 15
46,후평동,주공4,59.3,17.93825,202012,2020,12,29,12900,5,1985,후만로98번길 9
47,우두동,강변코아루,84.87,25.673175,202012,2020,12,29,20000,3,2007,새청말길 26
48,소양로2가,소양로현대,84.95,25.697375,202012,2020,12,29,16200,13,1998,모수물길 60
49,퇴계동,퇴계이안,84.9877,25.70877925,202012,2020,12,29,23500,1,2007,영서로 2169
50,퇴계동,퇴계이안,84.9877,25.70877925,202012,2020,12,29,25000,1,2007,영서로 2169
51,퇴계동,퇴계현대2차,59.76,18.0774,202012,2020,12,29,12200,8,1994,행촌로 14
52,사농동,롯데캐슬1단지,114.59,34.663475,202012,2020,12,29,23000,3,2008,마장길 58
53,사농동,롯데캐슬1단지,84.99,25.709475,202012,2020,12,29,18700,7,2008,마장길 58
54,후평동,주공5,39.69,12.006225,202012,2020,12,29,11000,3,1989,후만로 15
55,석사동,휴먼타운,84.89,25.679225,202012,2020,12,29,23200,14,2002,지석로 29
56,석사동,석사동현진에버빌1차,149.894,45.342935,202012,2020,12,28,35300,13,2004,지석로 97
57,우두동,삼성,101.91,30.827775,202012,2020,12,28,17200,13,1994,충열로 30
58,후평동,석사2,58.14,17.58735,202012,2020,12,28,10000,4,1995,후석로228번길 24
59,후평동,주공5,39.69,12.006225,202012,2020,12,28,10500,2,1989,후만로 15
60,후평동,주공4,59.3,17.93825,202012,2020,12,28,13600,4,1986,후만로98번길 9
61,후평동,세경3차아파트,49.68,15.0282,202012,2020,12,28,8000,3,1991,삭주로 125
62,후평동,세경3차아파트,49.68,15.0282,202012,2020,12,28,6000,3,1991,삭주로 125
63,동내면,부영1차,84.9763,25.70533075,202012,2020,12,28,22000,5,2003,춘천순환로94번길 12
