NO,주소2(동),단지명,전용면적(㎡),평수,계약년월,계약년,계약월,계약일,거래금액(만원),층,건축년도,도로명
1,후평동,한신,84.97,25.703425,202504,2025,4,21,13000,11,1991,부평길 7
2,칠전동,칠전2차대우,84.9583,25.69988575,202504,2025,4,21,19000,3,2002,칠전서길 15-2
3,삼천동,춘천파크자이,64.8151,19.60656775,202504,2025,4,20,39900,14,2020,스포츠타운길 460
4,석사동,퇴계주공4,59.99,18.146975,202504,2025,4,19,20000,5,1998,퇴계로 242
5,온의동,춘천센트럴파크푸르지오,74.8802,22.6512605,202504,2025,4,19,49700,31,2021,스포츠타운길 501
6,우두동,춘천우두이지더원시그니처,84.9667,25.70242675,202504,2025,4,19,42500,9,2021,우두1길 70
7,동내면,현대성우오스타,84.96,25.7004,202504,2025,4,18,28700,1,2009,춘천순환로 93
8,석사동,퇴계주공4,49.29,14.910225,202504,2025,4,18,15000,13,1998,퇴계로 242
9,효자동,동보,28.38,8.58495,202504,2025,4,18,5750,8,1999,공지로200번길 13
10,우두동,춘천파크에뷰,84.83,25.661075,202504,2025,4,18,37500,24,2020,우두1길 129
11,퇴계동,중앙하이츠빌3단지,84.9859,25.70823475,202504,2025,4,18,33300,5,2008,지석로 10
12,우두동,춘천우두이지더원시그니처,84.9667,25.70242675,202504,2025,4,18,42000,9,2021,우두1길 70
13,소양로2가,소양로현대,59.96,18.1379,202504,2025,4,18,13950,1,1998,모수물길 60
14,후평동,주공5,47.01,14.220525,202504,2025,4,18,12300,1,1989,후만로 15
15,효자동,신아,32.16,9.7284,202504,2025,4,18,6400,5,1997,백령로75번길 7
16,석사동,석사동현진에버빌1차,84.999,25.7121975,202504,2025,4,17,32850,14,2004,지석로 97
17,석사동,석사동현진에버빌1차,84.999,25.7121975,202504,2025,4,17,34500,10,2004,지석로 97
18,칠전동,대우,59.88,18.1137,202504,2025,4,17,12800,12,1999,옛경춘로 492
19,후평동,현대1차,84.81,25.655025,202504,2025,4,17,16200,10,1988,삭주로 113
20,후평동,세경3차아파트,49.68,15.0282,202504,2025,4,17,8500,15,1991,삭주로 125
21,퇴계동,이편한세상춘천한숲시티,59.8597,18.10755925,202504,2025,4,17,39900,14,2019,안마산로 133
22,소양로2가,e편한세상춘천,78.318,23.691195,202504,2025,4,17,34800,15,2014,서부대성로 33
23,석사동,석사대우,134.34,40.63785,202504,2025,4,17,38000,7,1998,우석로101번길 86
24,온의동,온의금호1차,72.24,21.8526,202504,2025,4,17,21000,15,1990,스포츠타운길 535
25,퇴계동,퇴계주공1차,49.71,15.037275,202504,2025,4,17,16100,11,2000,퇴계로 167
26,동내면,부영2차,84.9763,25.70533075,202504,2025,4,16,23000,4,2003,춘천순환로94번길 12
